RouteName,State,CentroidLat,CentroidLng,LengthMiles,AgencyTags
Devil's Stompin' Ground Road,North Carolina,35.605098,-79.404732,33.5,STATE
Diamond Loop Back Country Byway,Oregon,43.077049,-118.771214,128.8,BLM
"Dine' Tah ""Among the People"" Scenic Road",Arizona,35.551759,-109.092859,32.3,STATE
Dinosaur Diamond Prehistoric Highway,Colorado / Utah,39.547663,-109.659534,450.0,NSB
Driftless Area Scenic Byway,Iowa,43.276470,-91.345359,94.0,STATE
Drovers Road,North Carolina,35.483988,-82.347363,10.7,STATE
Drovers' Trail Scenic Byway,Ohio / West Virginia,40.003263,-80.996955,40.0,STATE
Dry Cimarron Scenic Byway,Colorado / New Mexico,36.814408,-103.558034,224.4,STATE
Dry Creek Scenic Road,Arizona,34.787872,-111.952056,30.0,STATE
Dude Ranch Trail,New York,43.409460,-73.813783,37.5,STATE
Duncan Hines Scenic Road,Kentucky,37.155773,-86.236577,86.0,STATE
East Steens Tour Route,Oregon,43.028777,-118.538061,129.9,STATE
Ebbetts Pass Scenic Byway,California,38.474955,-120.004802,62.7,"NSB, STATE"
Edenton-Windsor Loop,North Carolina,35.970733,-76.728795,77.2,STATE
Edge of the Wilderness,Minnesota,47.532337,-93.626010,46.9,"USFS, NSB, STATE"
El Camino Real,New Mexico,33.982155,-106.740737,387.2,"NSB, STATE"
Elk River Backcountry Byway,Idaho,46.685719,-116.218391,54.3,STATE
Elkhorn Scenic Byway,Oregon,44.843849,-118.119658,110.4,"USFS, STATE"
Emigrant Trail,California / Oregon,41.630337,-120.754181,124.5,USFS
Enchanted Circle Scenic Byway,New Mexico,36.547340,-105.459242,83.9,"USFS, STATE"
Extraterrestrial Highway,Nevada,37.775831,-115.824473,98.8,STATE
Falls Road,Maryland,39.479335,-76.706634,26.5,STATE
Farm Heritage Road,West Virginia,37.547887,-80.591054,54.8,STATE
Feather River Scenic Byway,California,39.863008,-120.925594,126.8,USFS
Fishlake Scenic Byway (U-25),Utah,38.546456,-111.734313,16.4,"USFS, STATE"
Flaming Gorge - Green River Basin Scenic Byway,Utah / Wyoming,41.250969,-109.420288,95.3,STATE
Flaming Gorge-Uintas Scenic Byway,Utah,40.801157,-109.537210,80.3,"USFS, NSB, STATE"
Flat Tops Trail Scenic Byway,Colorado,40.092169,-107.378579,80.6,"USFS, STATE"
Flint Hill Ramble,North Carolina,35.480891,-79.930408,6.6,STATE
Flint Hills Scenic Byway,Kansas,38.345658,-96.554574,47.2,"NSB, STATE"
Florida Keys Scenic Highway,Florida,24.819028,-80.986609,115.1,STATE
Football Road,North Carolina,35.935636,-79.439608,44.1,STATE
Forest Heritage Scenic Byway,North Carolina,35.334116,-82.850601,63.5,"USFS, STATE"
Fort Churchill to Wellington Back Country Byway,Nevada,39.116626,-119.439925,68.9,BLM
Fort Henry Historic Byway,Idaho,44.254727,-111.737824,76.8,STATE
Fredonia-Vermillion Cliffs Scenic Road,Arizona,36.771285,-111.926478,109.4,STATE
French Broad Overview,North Carolina,35.742820,-82.641418,17.0,STATE
From the Desert to Tall Pines Scenic Road,Arizona,33.959325,-110.924733,73.9,"USFS, STATE"
Frontier Military Scenic Byway,Kansas,38.228193,-94.727303,173.2,STATE
Frontier Pathways Scenic and Historic Byway,Colorado,38.134802,-105.032555,92.7,"NSB, STATE"
Galice to Hellgate Back Country Byway,Oregon,42.543644,-123.569478,27.5,BLM
Garnet Back Country Byway,Montana,46.848399,-113.384142,13.8,BLM
Gateway to Amish Country,Ohio,40.411588,-82.267093,24.0,STATE
George Washington Memorial Parkway,District of Columbia / Virginia,38.845258,-77.078255,26.3,NSB
Geronimo Trail Scenic Byway,New Mexico,33.171592,-107.605890,145.8,"NSB, STATE"
Gila-Pinal Scenic Road,Arizona,33.309477,-111.100039,31.1,STATE
Glacial Hills Scenic Byway,Kansas,39.631074,-95.107319,63.5,STATE
Glacial Ridge Trail Scenic Byway,Minnesota,45.466839,-95.190819,227.5,STATE
Glade Top Trail,Missouri,36.714696,-92.766980,23.2,USFS
Glenn Highway,Alaska,61.737501,-148.176846,152.4,"NSB, STATE"
Gold Belt Tour Scenic and Historic Byway,Colorado,38.615682,-105.227258,131.2,"NSB, BLM, STATE"
Gold Butte Back Country Byway,Nevada,36.478549,-114.200123,56.5,BLM
Gold Rush Byway,Nebraska / South Dakota,42.013601,-103.016060,160.4,STATE
Gold Rush Historic Byway,Idaho,46.448761,-115.948832,42.3,STATE
Governor Casey Byway,Pennsylvania,41.498177,-75.537020,14.9,STATE
Grand Gulf - Raymond Scenic Byway,Mississippi,32.101216,-90.615045,53.9,STATE
Grand Mesa Scenic and Historic Byway,Colorado,39.060068,-108.086991,61.0,"USFS, NSB, STATE"
Grand Rounds Scenic Byway,Minnesota,44.960472,-93.271888,43.1,"NSB, STATE"
Grand View Scenic Byway,Pennsylvania,40.434829,-80.010804,2.1,STATE
Grande Tour Route,Oregon,45.133530,-117.838895,106.2,STATE
Grant Wood Scenic Byway,Iowa,42.109364,-90.786156,73.4,STATE
Grassy Island Crossing,North Carolina,35.097227,-79.977815,26.4,STATE
Grave Creek to Marial Back Country Byway,Oregon,42.656534,-123.632424,57.2,BLM
Great Divide Highway,Wisconsin,46.121177,-90.927528,27.4,USFS
Great River Road,Arkansas / Illinois / Iowa / Louisiana / Minnesota / Mississippi / Missouri / Wisconsin,40.925020,-91.598856,2129.6,NSB
Great River Road - Kentucky,Kentucky / Tennessee,36.730438,-89.152186,50.7,"OTHER, STATE"
Great River Road - Louisiana,Louisiana,30.113113,-90.622880,268.3,"OTHER, STATE"
Great River Road - Mississippi,Mississippi / Tennessee,33.285428,-90.757649,294.1,OTHER
Great River Road - Missouri,Arkansas / Missouri,38.300873,-90.396727,405.9,OTHER
Great River Road - Tennessee,Tennessee,35.756772,-89.673195,136.7,OTHER
Green Mountain Scenic Byway,Florida,28.604552,-81.695439,13.6,STATE
Guadalupe Back Country Byway,New Mexico,32.368363,-104.543693,31.7,"BLM, BLM"
Guanella Pass Road,Colorado,37.295810,-104.898573,76.6,"USFS, STATE"
Gunflint Trail - Grand Marais to Saganaga Lake,Minnesota,48.000627,-90.517776,53.9,STATE
Gypsum Hills Scenic Byway,Kansas,37.280219,-98.956273,40.8,STATE
Haines Highway,Alaska,59.367375,-135.888923,39.4,STATE
Hanging Rock Scenic Byway,North Carolina,36.458821,-80.366578,39.0,STATE
Harquahala Mountain Back Country Byway,Arizona,33.762923,-113.327471,7.6,BLM
Harriet Tubman Underground Railroad,Maryland,38.684159,-75.929474,60.2,STATE
Hells Canyon Scenic Byway,Oregon,45.167731,-117.334250,200.0,"NSB, USFS, STATE"
Hells Canyon Scenic Byway - Idaho,Idaho / Oregon,45.105091,-116.770750,21.8,STATE
Heritage Corridors of Bath,Ohio,41.173827,-81.637788,37.6,STATE
Heritage Drive,Wisconsin,45.878572,-89.052769,17.3,USFS
Heritage Highway,Nebraska,40.197077,-97.737948,239.5,STATE
High Desert Discovery Scenic Byway,Oregon,42.876002,-118.916535,108.4,STATE
High Peaks Scenic Byway (NYS Route 73),New York,44.202566,-73.819942,29.2,STATE
High Plateau Scenic Byway,Pennsylvania,41.190687,-77.866881,31.5,STATE
High Road to Taos,New Mexico,36.109395,-105.767031,56.3,STATE
Highland Scenic Highway,West Virginia,38.247534,-80.320693,48.0,"USFS, NSB, STATE"
Highlands Scenic Byway,Virginia,37.847606,-79.631115,18.2,USFS
Highway 75- King of Trails Scenic Byway,Minnesota,46.314827,-96.567876,411.0,STATE
Highway 93,Nevada,38.084476,-114.650494,148.9,STATE
Historic Bluff Country Scenic Byway,Minnesota,43.733505,-91.967463,87.2,"NSB, STATE"
Historic Columbia River Highway,Oregon,45.599609,-121.811049,39.7,"NSB, USFS, STATE"
Historic Hills Scenic Byway,Iowa,40.757998,-92.162677,84.2,STATE
